Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,Station Side,ELEVATION (M),CUMALTIVE ELEVATION (M),seconds to traverse block
Green,A,1,100,0.5,45,,,0.5,0.5,8.0
Green,A,2,100,1,45,STATION; PIONEER,Left,1,1.5,8.0
Green,A,3,100,1.5,45,,,1.5,3,8.0
Green,B,4,100,2,45,,,2,5,8.0
Green,B,5,100,3,45,,,3,8,8.0
Green,B,6,100,4,45,,,4,12,8.0
Green,C,7,100,5,45,,,5,17,8.0
Green,C,8,100,0,45,,,0,17,8.0
Green,C,9,100,-5,45,STATION; EDGEBROOK,Left,-5,12,8.0
Green,C,10,100,-4.5,45,,,-4.5,7.5,8.0
Green,C,11,100,-4,45,,,-4,3.5,8.0
Green,C,12,100,-3,45,SWITCH (12-13; 1-13),,-3,0.5,8.0
Green,D,13,150,0,70,,,0,0.5,7.7
Green,D,14,150,0,70,,,0,0.5,7.7
Green,D,15,150,0,70,,,0,0.5,7.7
Green,D,16,150,0,70,STATION,Left/Right,0,0.5,7.7
Green,E,17,150,0,60,,,0,0.5,9.0
Green,E,18,150,0,60,,,0,0.5,9.0
Green,E,19,150,0,60,RAILWAY CROSSING,,0,0.5,9.0
Green,E,20,150,0,60,,,0,0.5,9.0
Green,F,21,300,0,70,,,0,0.5,15.4
Green,F,22,300,0,70,STATION; WHITED,Left/Right,0,0.5,15.4
Green,F,23,300,0,70,,,0,0.5,15.4
Green,F,24,300,0,70,,,0,0.5,15.4
Green,F,25,200,0,70,,,0,0.5,10.3
Green,F,26,100,0,70,,,0,0.5,5.1
Green,F,27,50,0,30,,,0,0.5,6.0
Green,F,28,50,0,30,,,0,0.5,6.0
Green,G,29,50,0,30,SWITCH (29-30; 29-150),,0,0.5,6.0
Green,G,30,50,0,30,,,0,0.5,6.0
Green,G,31,50,0,30,STATION; SOUTH BANK,Left,0,0.5,6.0
Green,G,32,50,0,30,,,0,0.5,6.0
Green,H,33,50,0,30,,,0,0.5,6.0
Green,H,34,50,0,30,,,0,0.5,6.0
Green,H,35,50,0,30,,,0,0.5,6.0
Green,I,36,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,37,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,38,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,39,50,0,30,STATION; CENTRAL; UNDERDROUND,Right,0,0.5,6.0
Green,I,40,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,41,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,42,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,43,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,44,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,45,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,46,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,47,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,48,50,0,30,STATION; INGLEWOOD; UNDERGROUND,Right,0,0.5,6.0
Green,I,49,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,50,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,51,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,52,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,53,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,54,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,55,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,56,50,0,30,UNDERGROUND,,0,0.5,6.0
Green,I,57,50,0,30,STATION; OVERBROOK; UNDERGROUND,Right,0,0.5,6.0
Green,J,58,50,0,30,SWITCH TO YARD (57-yard),,0,0.5,6.0
Green,J,59,50,0,30,,,0,0.5,6.0
Green,J,60,50,0,30,,,0,0.5,6.0
Green,J,61,50,0,30,,,0,0.5,6.0
Green,J,62,50,0,30,SWITCH FROM YARD (Yard-63),,0,0.5,6.0
Green,K,63,100,0,70,,,0,0.5,5.1
Green,K,64,100,0,70,,,0,0.5,5.1
Green,K,65,200,0,70,STATION; GLENBURY,Right,0,0.5,10.3
Green,K,66,200,0,70,,,0,0.5,10.3
Green,K,67,100,0,40,,,0,0.5,9.0
Green,K,68,100,0,40,,,0,0.5,9.0
Green,L,69,100,0,40,,,0,0.5,9.0
Green,L,70,100,0,40,,,0,0.5,9.0
Green,L,71,100,0,40,,,0,0.5,9.0
Green,L,72,100,0,40,,,0,0.5,9.0
Green,L,73,100,0,40,STATION; DORMONT,Right,0,0.5,9.0
Green,M,74,100,0,40,,,0,0.5,9.0
